--stream .\stream-histogram-greedy-optimal-fine-to-coarse-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
2.00694 0.0429348
2.01389 0.0432332
2.02083 0.042494
2.02778 0.0414361
2.03472 0.0406833
2.04167 0.0407918
2.04861 0.0407918
2.05556 0.0408461
2.0625 0.0409275
2.06944 0.0408257
2.07639 0.0407986
2.08333 0.0409953
2.09028 0.0410156
2.09722 0.0415107
2.10417 0.040195
2.11111 0.0403442
2.11806 0.0402629
2.125 0.0402629
2.13194 0.0403985
2.13889 0.0403985
2.14583 0.0402018
2.15278 0.0402018
2.15972 0.0403306
2.16667 0.0404052
2.17361 0.0403578
2.18056 0.0402832
2.1875 0.0401136
2.19444 0.0402696
2.20139 0.040195
2.20833 0.0401543
2.21528 0.0402018
2.22222 0.0402018
2.22917 0.0400322
2.23611 0.0400051
2.24306 0.0399983
2.25 0.0399034
2.25694 0.0398356
2.26389 0.0398356
2.27083 0.0398695
2.27778 0.0398695
2.28472 0.0397949
2.29167 0.0399034
2.29861 0.0406155
2.30556 0.0404188
2.3125 0.0402832
2.31944 0.0402832
2.32639 0.0402289
2.33333 0.0402289
2.34028 0.040229
2.34722 0.041063
2.35417 0.0411716
2.36111 0.04128
2.36806 0.0414428
2.375 0.0414428
2.38194 0.0417276
2.38889 0.0419312
2.39583 0.0419312
2.40278 0.0411241
2.40972 0.0410631
2.41667 0.037618
2.42361 0.0377671
2.43056 0.0377739
2.4375 0.0358818
2.44444 0.0365396
2.45139 0.0365396
2.45833 0.0364718
2.46528 0.0364718
2.47222 0.0363904
2.47917 0.0363904
2.48611 0.0362548
2.49306 0.0362548
2.5 0.0360988
2.50694 0.0360988
2.51389 0.035875
2.52083 0.035875
2.52778 0.0361599
2.53472 0.0358073
2.54167 0.0351562
2.54861 0.0351427
2.55556 0.0351019
2.5625 0.0351019
2.56944 0.0351562
2.57639 0.0347968
2.58333 0.0338066
2.59028 0.0338066
2.59722 0.0339355
2.60417 0.0343627
2.61111 0.0343627
2.61806 0.0345187
2.625 0.0346002
2.63194 0.0346748
2.63889 0.0346748
2.64583 0.034573
2.65278 0.0342135
2.65972 0.0342881
2.66667 0.0342881
2.67361 0.0340033
2.68056 0.0331013
2.6875 0.0325927
2.69444 0.0307752
2.70139 0.0304362
2.70833 0.0305718
2.71528 0.0305243
2.72222 0.0305922
2.72917 0.0306803
2.73611 0.0306803
2.74306 0.0308227
2.75 0.0308227
2.75694 0.0312295
2.76389 0.0310397
2.77083 0.0305989
2.77778 0.0305989
2.78472 0.030782
2.79167 0.030782
2.79861 0.0306464
2.80556 0.0303615
2.8125 0.0306463
2.81944 0.0306463
2.82639 0.0306735
2.83333 0.0317314
2.84028 0.0316228
2.84722 0.0325113
2.85417 0.0325113
2.86111 0.0324841
2.86806 0.0319552
2.875 0.0319552
2.88194 0.0320027
2.88889 0.0318468
2.89583 0.0318671
2.90278 0.031528
2.90972 0.031528
2.91667 0.0315009
2.92361 0.0315144
2.93056 0.0315144
2.9375 0.0313652
2.94444 0.031277
2.95139 0.030843
2.95833 0.030843
2.96528 0.0308023
2.97222 0.0308905
2.97917 0.0309244
2.98611 0.0309244
2.99306 0.0310397
3 0.0310397
3.00694 0.0310532
3.01389 0.0309176
3.02083 0.0308362
3.02778 0.0308362
3.03472 0.0306939
3.04167 0.0309177
3.04861 0.0309245
3.05556 0.0309042
3.0625 0.0308769
3.06944 0.0308769
3.07639 0.0309651
3.08333 0.0309922
3.09028 0.0309787
3.09722 0.0309787
3.10417 0.0309109
3.11111 0.030877
3.11806 0.0299139
3.125 0.0294596
3.13194 0.0292968
3.13889 0.029385
3.14583 0.029602
3.15278 0.0272894
3.15972 0.0272894
3.16667 0.0272759
3.17361 0.0269299
3.18056 0.0267469
3.1875 0.0268418
3.19444 0.0265908
3.20139 0.0265705
3.20833 0.0261094
3.21528 0.0260687
3.22222 0.0260687
3.22917 0.0260416
3.23611 0.0260416
3.24306 0.0260552
3.25 0.025967
3.25694 0.0265095
3.26389 0.0265095
3.27083 0.0262518
3.27778 0.0262518
3.28472 0.0262789
3.29167 0.0261027
3.29861 0.0261229
3.30556 0.0261229
3.3125 0.0262382
3.31944 0.0262043
3.32639 0.02575
3.33333 0.0257568
3.34028 0.0257568
3.34722 0.0258178
3.35417 0.0258178
3.36111 0.0257907
3.36806 0.0257907
3.375 0.0258517
3.38194 0.0257635
3.38889 0.0247529
3.39583 0.0247464
3.40278 0.0247464
3.40972 0.0244682
3.41667 0.0244682
3.42361 0.0248683
3.43056 0.0247327
3.4375 0.024787
3.44444 0.0246377
3.45139 0.0246445
