--stream stream-rmse-greedy-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
3.61806 47.8795
3.625 47.8796
3.63194 47.8796
3.63889 47.8813
3.64583 47.8813
3.65278 47.8774
3.65972 47.8774
3.66667 47.8905
3.67361 47.8905
3.68056 47.895
3.6875 47.9001
3.69444 47.8976
3.70139 47.9302
3.70833 47.9302
3.71528 47.9381
3.72222 47.9381
3.72917 47.9454
3.73611 47.9531
3.74306 47.9533
3.75 47.9533
3.75694 47.9603
3.76389 47.9603
3.77083 47.9716
3.77778 47.9716
3.78472 47.98
3.79167 47.98
3.79861 47.9851
3.80556 48.0031
3.8125 48.0031
3.81944 48.0269
3.82639 48.0269
3.83333 48.0354
3.84028 48.0354
3.84722 48.0607
3.85417 48.0607
3.86111 48.0723
3.86806 48.0813
3.875 48.0858
3.88194 48.0858
3.88889 48.0926
3.89583 48.1062
3.90278 48.1022
3.90972 48.1324
3.91667 48.1324
3.92361 48.1408
3.93056 48.1408
3.9375 48.1411
3.94444 48.1411
3.95139 48.167
3.95833 48.167
3.96528 48.1726
3.97222 48.1726
3.97917 48.1742
3.98611 48.1742
3.99306 48.1895
4 48.1895
4.00694 48.1945
4.01389 48.2428
4.02083 48.2759
4.02778 48.2759
4.03472 48.2793
4.04167 48.2793
4.04861 48.3039
4.05556 48.3039
4.0625 48.3039
4.06944 48.3039
4.07639 48.3113
4.08333 48.3113
4.09028 48.3108
4.09722 48.3108
4.10417 48.3151
4.11111 48.3368
4.11806 48.3368
4.125 48.3397
4.13194 48.3397
4.13889 48.3422
4.14583 48.3422
4.15278 48.3585
4.15972 48.3585
4.16667 48.3716
4.17361 48.3716
4.18056 48.388
4.1875 48.3942
4.19444 48.39
4.20139 48.4081
4.20833 48.4081
4.21528 48.4243
4.22222 48.4243
4.22917 48.4294
4.23611 48.4294
4.24306 48.4481
4.25 48.4783
4.25694 48.5177
4.26389 48.5224
4.27083 48.5188
4.27778 48.5259
4.28472 48.522
4.29167 48.5255
4.29861 48.5245
4.30556 48.5727
4.3125 48.5727
4.31944 48.5782
4.32639 48.5782
4.33333 48.5777
4.34028 48.5777
4.34722 48.5832
4.35417 48.5832
4.36111 48.5852
4.36806 48.6094
4.375 48.6079
4.38194 48.6217
4.38889 48.6217
4.39583 48.6306
4.40278 48.6306
4.40972 48.6553
4.41667 48.6553
4.42361 48.6585
4.43056 48.7068
4.4375 48.7068
4.44444 48.709
4.45139 48.7297
4.45833 48.7297
4.46528 48.754
4.47222 48.8009
4.47917 48.8009
4.48611 48.8121
4.49306 48.8121
4.5 48.8118
4.50694 48.8528
4.51389 48.8528
4.52083 48.854
4.52778 48.854
4.53472 48.8532
4.54167 48.8532
4.54861 48.8789
4.55556 48.8789
4.5625 48.8827
4.56944 48.8827
4.57639 48.8954
4.58333 48.9383
4.59028 48.9497
4.59722 48.9456
4.60417 48.9811
4.61111 48.9912
4.61806 48.9912
4.625 49.0215
4.63194 49.0659
4.63889 49.0778
4.64583 49.0733
4.65278 49.082
4.65972 49.08
4.66667 49.1177
4.67361 49.1389
4.68056 49.1389
4.6875 49.1427
4.69444 49.1412
4.70139 49.1607
4.70833 49.1607
4.71528 49.1644
4.72222 49.1644
4.72917 49.182
4.73611 49.2052
4.74306 49.2052
4.75 49.2245
4.75694 49.2322
4.76389 49.2322
4.77083 49.2655
4.77778 49.2713
4.78472 49.2728
4.79167 49.2845
4.79861 49.2917
4.80556 49.3304
4.8125 49.3621
4.81944 49.3621
4.82639 49.3686
4.83333 49.3686
4.84028 49.3763
4.84722 49.3763
4.85417 49.3919
4.86111 49.4028
4.86806 49.4031
4.875 49.4373
4.88194 49.4676
4.88889 49.4676
4.89583 49.465
4.90278 49.4872
4.90972 49.4872
4.91667 49.5124
4.92361 49.5227
4.93056 49.5235
4.9375 49.5235
4.94444 49.5325
4.95139 49.5727
4.95833 49.5924
4.96528 49.5924
4.97222 49.6089
4.97917 49.6089
4.98611 49.6335
4.99306 49.6544
5 49.6544
5.00694 49.6672
5.01389 49.6672
5.02083 49.6766
5.02778 49.6766
5.03472 49.679
5.04167 49.679
5.04861 49.6978
5.05556 49.6978
5.0625 49.707
5.06944 49.707
5.07639 49.7085
5.08333 49.712
5.09028 49.7078
5.09722 49.7409
5.10417 49.7522
5.11111 49.7512
5.11806 49.7712
5.125 49.7712
5.13194 49.7778
5.13889 49.8205
5.14583 49.863
5.15278 49.8786
5.15972 49.8786
5.16667 49.9006
5.17361 49.9006
5.18056 49.9036
5.1875 49.937
5.19444 49.937
5.20139 49.9335
5.20833 49.9335
5.21528 49.936
5.22222 49.936
5.22917 49.9481
5.23611 49.9905
5.24306 49.9905
5.25 50.0012
5.25694 50.0461
5.26389 50.0461
5.27083 50.044
5.27778 50.0542
5.28472 50.0522
5.29167 50.0857
5.29861 50.0967
5.30556 50.0967
5.3125 50.1266
5.31944 50.1703
5.32639 50.1703
5.33333 50.1676
5.34028 50.2013
5.34722 50.2013
5.35417 50.2005
5.36111 50.2005
5.36806 50.2096
5.375 50.2563
5.38194 50.2724
5.38889 50.2724
5.39583 50.2764
5.40278 50.2764
5.40972 50.2864
5.41667 50.2864
5.42361 50.2949
5.43056 50.3395
5.4375 50.3395
5.44444 50.336
5.45139 50.3777
5.45833 50.3777
5.46528 50.3768
5.47222 50.4189
5.47917 50.4189
5.48611 50.4216
5.49306 50.4603
5.5 50.5029
5.50694 50.5029
5.51389 50.5055
5.52083 50.5407
5.52778 50.5407
5.53472 50.5545
5.54167 50.5884
5.54861 50.6005
5.55556 50.5966
5.5625 50.6356
5.56944 50.6579
5.57639 50.6579
5.58333 50.6928
5.59028 50.6928
5.59722 50.69
5.60417 50.7353
5.61111 50.7857
5.61806 50.8183
5.625 50.8183
5.63194 50.8329
5.63889 50.882
5.64583 50.882
5.65278 50.8917
5.65972 50.9147
5.66667 50.9147
5.67361 50.9384
5.68056 50.9825
5.6875 51.0034
5.69444 51.0034
5.70139 51.0251
5.70833 51.0469
5.71528 51.0469
5.72222 51.0682
5.72917 51.0682
5.73611 51.0631
5.74306 51.0882
5.75 51.0882
5.75694 51.1082
5.76389 51.1179
5.77083 51.1179
5.77778 51.1487
5.78472 51.199
5.79167 51.2117
5.79861 51.2091
5.80556 51.2119
5.8125 51.211
5.81944 51.249
5.82639 51.2962
5.83333 51.2962
5.84028 51.2946
5.84722 51.3447
5.85417 51.3966
5.86111 51.4073
5.86806 51.4041
5.875 51.4318
5.88194 51.4318
5.88889 51.4386
5.89583 51.4862
5.90278 51.5282
5.90972 51.5433
5.91667 51.541
5.92361 51.5701
5.93056 51.5701
5.9375 51.5769
5.94444 51.5996
5.95139 51.5996
5.95833 51.6051
5.96528 51.6051
5.97222 51.6292
5.97917 51.678
5.98611 51.6922
5.99306 51.6922
6 51.7251
6.00694 51.7643
6.01389 51.7643
6.02083 51.7718
6.02778 51.7718
6.03472 51.7864
6.04167 51.8407
6.04861 51.8916
6.05556 51.8999
6.0625 51.8977
6.06944 51.9435
6.07639 51.9523
6.08333 51.9523
6.09028 51.9719
6.09722 51.9719
6.10417 52.0114
6.11111 52.0114
6.11806 52.0116
6.125 52.0581
6.13194 52.0837
6.13889 52.0837
6.14583 52.1058
6.15278 52.1611
6.15972 52.1611
6.16667 52.1635
6.17361 52.1993
6.18056 52.1993
6.1875 52.2108
6.19444 52.2243
6.20139 52.2243
6.20833 52.2554
6.21528 52.307
6.22222 52.307
6.22917 52.3041
6.23611 52.3576
6.24306 52.3699
6.25 52.3714
6.25694 52.4195
6.26389 52.4403
6.27083 52.4403
6.27778 52.4499
6.28472 52.4499
6.29167 52.4742
6.29861 52.485
6.30556 52.4823
6.3125 52.488
6.31944 52.488
6.32639 52.5211
6.33333 52.5685
6.34028 52.6038
6.34722 52.6258
6.35417 52.6258
6.36111 52.6621
6.36806 52.7102
6.375 52.7507
6.38194 52.7507
6.38889 52.752
6.39583 52.766
6.40278 52.766
6.40972 52.7751
6.41667 52.7751
6.42361 52.7965
6.43056 52.8332
6.4375 52.8332
6.44444 52.8429
6.45139 52.8661
6.45833 52.8661
6.46528 52.8934
6.47222 52.8934
6.47917 52.896
6.48611 52.896
6.49306 52.9112
6.5 52.9112
6.50694 52.9161
6.51389 52.9161
6.52083 52.927
6.52778 52.9605
6.53472 52.9605
6.54167 52.9687
6.54861 52.9687
6.55556 52.975
6.5625 52.9854
6.56944 52.9831
6.57639 52.9938
6.58333 52.9938
6.59028 53.016
6.59722 53.016
6.60417 53.0227
6.61111 53.0227
6.61806 53.0243
6.625 53.0646
6.63194 53.0767
6.63889 53.0762
6.64583 53.1022
6.65278 53.1393
6.65972 53.1698
6.66667 53.1698
6.67361 53.1739
6.68056 53.2118
6.6875 53.2359
6.69444 53.2436
6.70139 53.2426
6.70833 53.2621
6.71528 53.2621
6.72222 53.2768
6.72917 53.3127
6.73611 53.3127
6.74306 53.3129
6.75 53.3459
6.75694 53.3863
6.76389 53.4092
6.77083 53.4092
6.77778 53.436
6.78472 53.4764
6.79167 53.4935
6.79861 53.4935
6.80556 53.5079
6.8125 53.5079
6.81944 53.507
6.82639 53.5448
6.83333 53.588
6.84028 53.6193
6.84722 53.6193
6.85417 53.6216
6.86111 53.6597
6.86806 53.7051
6.875 53.7167
6.88194 53.7167
6.88889 53.7451
6.89583 53.7904
6.90278 53.7955
6.90972 53.7955
6.91667 53.8224
6.92361 53.8342
6.93056 53.8306
6.9375 53.8671
6.94444 53.8671
6.95139 53.8632
6.95833 53.9031
6.96528 53.9468
6.97222 53.992
6.97917 54.0379
6.98611 54.0818
6.99306 54.1266
7 54.1645
7.00694 54.2093
7.01389 54.2556
7.02083 54.2661
7.02778 54.2661
7.03472 54.3021
7.04167 54.3336
7.04861 54.3336
7.05556 54.337
7.0625 54.3828
7.06944 54.429
7.07639 54.4697
7.08333 54.5163
7.09028 54.5619
7.09722 54.608
7.10417 54.6553
7.11111 54.7001
7.11806 54.7468
7.125 54.7929
7.13194 54.8387
7.13889 54.8864
7.14583 54.9335
7.15278 54.9808
7.15972 55.0279
7.16667 55.071
7.17361 55.1187
7.18056 55.1664
7.1875 55.2155
7.19444 55.2654
7.20139 55.3147
7.20833 55.3634
7.21528 55.4131
7.22222 55.4646
7.22917 55.5121
7.23611 55.5638
7.24306 55.609
7.25 55.6578
7.25694 55.7034
7.26389 55.7553
7.27083 55.8033
7.27778 55.8532
7.28472 55.9038
7.29167 55.9542
7.29861 56.0052
7.30556 56.0529
7.3125 56.1003
7.31944 56.1487
7.32639 56.2002
7.33333 56.2397
7.34028 56.2397
7.34722 56.2399
7.35417 56.2884
7.36111 56.3371
7.36806 56.3861
7.375 56.4372
7.38194 56.4843
7.38889 56.5373
7.39583 56.5904
7.40278 56.6404
7.40972 56.6922
7.41667 56.7438
7.42361 56.7971
7.43056 56.8513
7.4375 56.9008
7.44444 56.9402
7.45139 56.9402
7.45833 56.9371
7.46528 56.9877
7.47222 57.0434
7.47917 57.0991
7.48611 57.1584
7.49306 57.2128
7.5 57.2678
7.50694 57.3254
7.51389 57.3803
7.52083 57.431
7.52778 57.49
7.53472 57.5468
7.54167 57.6039
7.54861 57.6596
7.55556 57.7126
7.5625 57.7408
7.56944 57.7408
7.57639 57.7587
7.58333 57.8139
7.59028 57.8721
7.59722 57.9289
7.60417 57.9887
7.61111 58.0498
7.61806 58.1126
7.625 58.1742
7.63194 58.2318
7.63889 58.2885
7.64583 58.346
7.65278 58.41
7.65972 58.4693
7.66667 58.5303
7.67361 58.5905
7.68056 58.6483
7.6875 58.7118
7.69444 58.7685
7.70139 58.8251
7.70833 58.8788
7.71528 58.9339
7.72222 58.9609
7.72917 58.9609
7.73611 58.9794
7.74306 59.0385
7.75 59.0881
7.75694 59.1283
7.76389 59.1722
7.77083 59.2153
7.77778 59.2587
7.78472 59.3021
7.79167 59.3454
7.79861 59.3883
7.80556 59.4318
7.8125 59.4757
7.81944 59.5192
7.82639 59.5636
7.83333 59.608
7.84028 59.6513
7.84722 59.6952
7.85417 59.7403
7.86111 59.7854
7.86806 59.8288
7.875 59.8741
7.88194 59.9195
7.88889 59.9655
7.89583 60.0122
7.90278 60.0582
7.90972 60.1048
7.91667 60.1507
7.92361 60.1966
7.93056 60.2445
7.9375 60.293
7.94444 60.3412
7.95139 60.3902
7.95833 60.4382
7.96528 60.487
7.97222 60.5355
7.97917 60.5852
7.98611 60.6345
7.99306 60.6853
8 60.7352
8.00694 60.7856
8.01389 60.8369
8.02083 60.8894
8.02778 60.9415
8.03472 60.9938
8.04167 61.0449
8.04861 61.0979
8.05556 61.1511
8.0625 61.2057
8.06944 61.2576
8.07639 61.3124
8.08333 61.3656
8.09028 61.4194
8.09722 61.4743
8.10417 61.53
8.11111 61.5868
8.11806 61.6433
8.125 61.6989
8.13194 61.7562
8.13889 61.8157
8.14583 61.8721
8.15278 61.9308
8.15972 61.9918
8.16667 62.0493
8.17361 62.1077
8.18056 62.1683
8.1875 62.2278
8.19444 62.2876
8.20139 62.3493
8.20833 62.4072
8.21528 62.4674
8.22222 62.529
8.22917 62.5881
8.23611 62.649
8.24306 62.7042
8.25 62.7603
8.25694 62.821
8.26389 62.8789
8.27083 62.9355
8.27778 62.9931
8.28472 63.0523
8.29167 63.111
8.29861 63.1674
8.30556 63.2257
8.3125 63.2843
8.31944 63.3435
8.32639 63.4039
8.33333 63.4632
8.34028 63.5214
8.34722 63.5801
8.35417 63.6379
8.36111 63.6988
8.36806 63.761
8.375 63.8231
8.38194 63.8823
8.38889 63.943
8.39583 64.0021
8.40278 64.0618
8.40972 64.1236
8.41667 64.1845
8.42361 64.2491
8.43056 64.3107
8.4375 64.3743
8.44444 64.4422
8.45139 64.5052
8.45833 64.5686
8.46528 64.634
8.47222 64.6891
8.47917 64.7483
8.48611 64.8045
8.49306 64.8648
8.5 64.913
8.50694 64.9553
8.51389 64.9956
8.52083 65.0357
8.52778 65.076
8.53472 65.1152
8.54167 65.1551
8.54861 65.196
8.55556 65.2367
8.5625 65.2774
8.56944 65.3181
8.57639 65.3588
8.58333 65.3988
8.59028 65.4402
8.59722 65.4815
8.60417 65.5233
8.61111 65.565
8.61806 65.6076
8.625 65.6494
8.63194 65.6906
8.63889 65.7322
8.64583 65.7747
8.65278 65.8179
8.65972 65.8597
8.66667 65.9034
8.67361 65.9458
8.68056 65.989
8.6875 66.0337
8.69444 66.0771
8.70139 66.1215
8.70833 66.1664
8.71528 66.2116
8.72222 66.2575
8.72917 66.3039
8.73611 66.3501
8.74306 66.3969
8.75 66.4422
8.75694 66.4885
8.76389 66.5351
8.77083 66.583
8.77778 66.6321
8.78472 66.6804
8.79167 66.7291
8.79861 66.7758
8.80556 66.8258
8.8125 66.876
8.81944 66.9263
8.82639 66.9753
8.83333 67.0274
8.84028 67.0769
8.84722 67.1273
8.85417 67.1792
8.86111 67.2319
8.86806 67.2858
8.875 67.3389
8.88194 67.3917
8.88889 67.4456
8.89583 67.4997
8.90278 67.5542
8.90972 67.5827
8.91667 67.5827
8.92361 67.6032
8.93056 67.6585
8.9375 67.7144
8.94444 67.7709
8.95139 67.8278
8.95833 67.885
8.96528 67.9431
8.97222 67.9995
8.97917 68.0562
8.98611 68.1109
8.99306 68.1703
9 68.2258
9.00694 68.2839
9.01389 68.3422
9.02083 68.4026
9.02778 68.4648
9.03472 68.5196
9.04167 68.5767
9.04861 68.6317
9.05556 68.6901
9.0625 68.7457
9.06944 68.8026
9.07639 68.8594
9.08333 68.9128
9.09028 68.9706
9.09722 69.0279
9.10417 69.0279
9.11111 69.0279
9.11806 69.0568
9.125 69.114
9.13194 69.1718
9.13889 69.2291
9.14583 69.284
9.15278 69.3415
9.15972 69.3988
9.16667 69.4583
9.17361 69.5174
9.18056 69.5748
9.1875 69.6331
9.19444 69.6901
9.20139 69.7516
9.20833 69.813
9.21528 69.8724
9.22222 69.8724
9.22917 69.8724
9.23611 69.8919
9.24306 69.9529
9.25 70.0086
9.25694 70.0643
9.26389 70.1214
9.27083 70.1786
9.27778 70.2334
9.28472 70.2872
9.29167 70.3426
9.29861 70.3426
9.30556 70.3426
9.3125 70.3747
9.31944 70.3998
9.32639 70.3998
9.33333 70.3998
9.34028 70.4241
9.34722 70.444
9.35417 70.444
9.36111 70.4494
9.36806 70.4494
9.375 70.4494
9.38194 70.4503
9.38889 70.4503
9.39583 70.4503
9.40278 70.4627
9.40972 70.4627
9.41667 70.4627
9.42361 70.4858
9.43056 70.5256
9.4375 70.5256
9.44444 70.5256
9.45139 70.5506
9.45833 70.5879
9.46528 70.5879
9.47222 70.5879
9.47917 70.5971
9.48611 70.6344
9.49306 70.6724
9.5 70.709
9.50694 70.7468
9.51389 70.7847
9.52083 70.8226
9.52778 70.8322
9.53472 70.8322
9.54167 70.8429
9.54861 70.8813
9.55556 70.9198
9.5625 70.9588
9.56944 70.9986
