--stream .\stream-rmse-greedy-optimal-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
2.14583 44.9428
2.15278 44.9428
2.15972 44.9529
2.16667 44.9529
2.17361 44.9715
2.18056 44.9715
2.1875 44.9735
2.19444 44.9724
2.20139 44.9905
2.20833 44.9934
2.21528 45.0008
2.22222 44.9957
2.22917 45.0346
2.23611 45.0346
2.24306 45.0425
2.25 45.0425
2.25694 45.0466
2.26389 45.0544
2.27083 45.056
2.27778 45.0652
2.28472 45.0648
2.29167 45.0802
2.29861 45.0802
2.30556 45.0905
2.3125 45.0905
2.31944 45.0932
2.32639 45.0932
2.33333 45.1018
2.34028 45.1018
2.34722 45.1049
2.35417 45.1049
2.36111 45.1057
2.36806 45.1084
2.375 45.1084
2.38194 45.1111
2.38889 45.1544
2.39583 45.1544
2.40278 45.1692
2.40972 45.2031
2.41667 45.2031
2.42361 45.2134
2.43056 45.2134
2.4375 45.2169
2.44444 45.2191
2.45139 45.2191
2.45833 45.2353
2.46528 45.2353
2.47222 45.2411
2.47917 45.2411
2.48611 45.2475
2.49306 45.2641
2.5 45.2605
2.50694 45.2671
2.51389 45.2927
2.52083 45.3237
2.52778 45.3237
2.53472 45.3271
2.54167 45.3271
2.54861 45.3303
2.55556 45.3291
2.5625 45.3779
2.56944 45.3941
2.57639 45.3905
2.58333 45.414
2.59028 45.4079
2.59722 45.4473
2.60417 45.4473
2.61111 45.4751
2.61806 45.4751
2.625 45.4992
2.63194 45.5105
2.63889 45.5105
2.64583 45.5158
2.65278 45.5124
2.65972 45.5498
2.66667 45.5498
2.67361 45.5905
2.68056 45.6539
2.6875 45.6698
2.69444 45.672
2.70139 45.672
2.70833 45.6836
2.71528 45.6836
2.72222 45.6879
2.72917 45.6879
2.73611 45.6922
2.74306 45.6922
2.75 45.6965
2.75694 45.6965
2.76389 45.7083
2.77083 45.7721
2.77778 45.8034
2.78472 45.8023
2.79167 45.8282
2.79861 45.8282
2.80556 45.8527
2.8125 45.9107
2.81944 45.9625
2.82639 46.0256
2.83333 46.0886
2.84028 46.0886
2.84722 46.095
2.85417 46.095
2.86111 46.0977
2.86806 46.1135
2.875 46.1102
2.88194 46.1304
2.88889 46.1291
2.89583 46.1812
2.90278 46.1999
2.90972 46.1999
2.91667 46.2291
2.92361 46.2449
2.93056 46.2409
2.9375 46.2495
2.94444 46.2514
2.95139 46.3022
2.95833 46.3151
2.96528 46.3139
2.97222 46.3255
2.97917 46.3216
2.98611 46.347
2.99306 46.3644
3 46.3648
3.00694 46.383
3.01389 46.383
3.02083 46.4239
3.02778 46.4239
3.03472 46.4339
3.04167 46.4648
3.04861 46.4648
3.05556 46.506
3.0625 46.5725
3.06944 46.6361
3.07639 46.6828
3.08333 46.6828
3.09028 46.6892
3.09722 46.6892
3.10417 46.7105
3.11111 46.742
3.11806 46.742
3.125 46.7609
3.13194 46.7609
3.13889 46.7649
3.14583 46.7982
3.15278 46.7968
3.15972 46.8415
3.16667 46.9096
3.17361 46.9096
3.18056 46.9095
3.1875 46.9095
3.19444 46.9165
3.20139 46.9522
3.20833 46.9522
3.21528 46.9625
3.22222 46.9625
3.22917 46.9671
3.23611 46.9671
3.24306 47.0092
3.25 47.0092
3.25694 47.0209
3.26389 47.0525
3.27083 47.0465
3.27778 47.1148
3.28472 47.1148
3.29167 47.1191
3.29861 47.1191
3.30556 47.1222
3.3125 47.1222
3.31944 47.1267
3.32639 47.1267
3.33333 47.1414
3.34028 47.1892
3.34722 47.2226
3.35417 47.2226
3.36111 47.2244
3.36806 47.2244
3.375 47.2489
3.38194 47.3146
3.38889 47.369
3.39583 47.369
3.40278 47.3696
3.40972 47.3696
3.41667 47.3799
3.42361 47.3969
3.43056 47.418
3.4375 47.4262
3.44444 47.4257
3.45139 47.4491
3.45833 47.4491
3.46528 47.4782
3.47222 47.4954
3.47917 47.496
3.48611 47.518
3.49306 47.518
3.5 47.5606
3.50694 47.5606
3.51389 47.5691
3.52083 47.5768
3.52778 47.577
3.53472 47.6276
3.54167 47.6819
3.54861 47.6934
3.55556 47.692
3.5625 47.7117
3.56944 47.7117
3.57639 47.7227
3.58333 47.723
3.59028 47.7512
3.59722 47.7512
3.60417 47.7689
3.61111 47.7689
3.61806 47.7807
3.625 47.7807
3.63194 47.7769
3.63889 47.7769
3.64583 47.7789
3.65278 47.7789
3.65972 47.7818
3.66667 47.7818
3.67361 47.7836
3.68056 47.815
3.6875 47.815
3.69444 47.8288
3.70139 47.8288
3.70833 47.8327
3.71528 47.8525
3.72222 47.8525
3.72917 47.8758
3.73611 47.8758
3.74306 47.8781
3.75 47.8781
3.75694 47.8865
3.76389 47.8865
3.77083 47.8979
3.77778 47.8979
3.78472 47.932
3.79167 47.9422
3.79861 47.9545
3.80556 47.9545
3.8125 47.9644
3.81944 47.9819
3.82639 47.9918
3.83333 47.9886
3.84028 47.9922
3.84722 47.9925
3.85417 48.0071
3.86111 48.0071
3.86806 48.012
3.875 48.012
3.88194 48.0166
3.88889 48.0166
3.89583 48.0294
3.90278 48.0421
3.90972 48.0506
3.91667 48.0506
3.92361 48.0604
3.93056 48.0604
3.9375 48.082
3.94444 48.082
3.95139 48.0854
3.95833 48.0854
3.96528 48.1078
3.97222 48.1078
3.97917 48.1227
3.98611 48.1227
3.99306 48.1282
4 48.1565
4.00694 48.1565
4.01389 48.163
4.02083 48.163
4.02778 48.1648
4.03472 48.1648
4.04167 48.175
4.04861 48.2112
4.05556 48.2112
4.0625 48.2144
4.06944 48.2144
4.07639 48.2259
4.08333 48.2361
4.09028 48.2331
4.09722 48.2365
4.10417 48.2337
4.11111 48.2504
4.11806 48.2504
4.125 48.2513
4.13194 48.2513
4.13889 48.2547
4.14583 48.2547
4.15278 48.2779
4.15972 48.3071
4.16667 48.3423
4.17361 48.3423
4.18056 48.3507
4.1875 48.3507
4.19444 48.3583
4.20139 48.3888
4.20833 48.3888
4.21528 48.4005
4.22222 48.4472
4.22917 48.4723
4.23611 48.4723
4.24306 48.4906
4.25 48.5375
4.25694 48.5492
4.26389 48.5543
4.27083 48.5776
4.27778 48.5761
4.28472 48.6002
4.29167 48.6118
4.29861 48.607
4.30556 48.6306
4.3125 48.6306
4.31944 48.638
